method,scenario,avg_acc,BWT,matrix_csv
baseline,CIL,0.1906202733516693,-0.9912570118904114,matrices/matrix_CIL_baseline.csv
replay,CIL,0.8932210206985474,-0.09350952506065369,matrices/matrix_CIL_replay.csv
ewc,CIL,0.19435200095176697,-0.9893015623092651,matrices/matrix_CIL_ewc.csv
kd,CIL,0.4619014859199524,-0.3901440501213074,matrices/matrix_CIL_kd.csv
proj,CIL,0.19334343075752258,-0.9889233112335205,matrices/matrix_CIL_proj.csv
replay_ewc,CIL,0.8958290219306946,-0.08835265040397644,matrices/matrix_CIL_replay_ewc.csv
replay_kd,CIL,0.866184413433075,0.3463169038295746,matrices/matrix_CIL_replay_kd.csv
replay_proj,CIL,0.9000113606452942,-0.0840902030467987,matrices/matrix_CIL_replay_proj.csv
ewc_kd,CIL,0.4728868007659912,-0.30610519647598267,matrices/matrix_CIL_ewc_kd.csv
replay_ewc_kd,CIL,0.8736029863357544,0.36448511481285095,matrices/matrix_CIL_replay_ewc_kd.csv
baseline,TIL,0.9835866093635559,-0.0054480284452438354,matrices/matrix_TIL_baseline.csv
replay,TIL,0.9638866186141968,-0.008041515946388245,matrices/matrix_TIL_replay.csv
ewc,TIL,0.9840908050537109,-0.003582581877708435,matrices/matrix_TIL_ewc.csv
kd,TIL,0.9841599464416504,-0.004241630434989929,matrices/matrix_TIL_kd.csv
proj,TIL,0.9817137718200684,-0.006788358092308044,matrices/matrix_TIL_proj.csv
replay_ewc,TIL,0.9624677896499634,-0.00918722152709961,matrices/matrix_TIL_replay_ewc.csv
replay_kd,TIL,0.9671077728271484,-0.001814529299736023,matrices/matrix_TIL_replay_kd.csv
replay_proj,TIL,0.9682940244674683,0.0012910515069961548,matrices/matrix_TIL_replay_proj.csv
ewc_kd,TIL,0.9831894040107727,-0.004553899168968201,matrices/matrix_TIL_ewc_kd.csv
replay_ewc_kd,TIL,0.9552539587020874,-0.017489835619926453,matrices/matrix_TIL_replay_ewc_kd.csv
baseline,DIL,0.8797400593757629,-0.07859998941421509,matrices/matrix_DIL_baseline.csv
replay,DIL,0.9584599733352661,0.01087498664855957,matrices/matrix_DIL_replay.csv
ewc,DIL,0.8529800176620483,-0.10539999604225159,matrices/matrix_DIL_ewc.csv
kd,DIL,0.6842399835586548,-0.1090250089764595,matrices/matrix_DIL_kd.csv
proj,DIL,0.8665601015090942,-0.09935000538825989,matrices/matrix_DIL_proj.csv
replay_ewc,DIL,0.9541000127792358,0.0038250088691711426,matrices/matrix_DIL_replay_ewc.csv
replay_kd,DIL,0.9089199900627136,0.12217500060796738,matrices/matrix_DIL_replay_kd.csv
replay_proj,DIL,0.9534799456596375,0.005874991416931152,matrices/matrix_DIL_replay_proj.csv
ewc_kd,DIL,0.09799999743700027,-0.6220000386238098,matrices/matrix_DIL_ewc_kd.csv
replay_ewc_kd,DIL,0.9132599830627441,0.12025000154972076,matrices/matrix_DIL_replay_ewc_kd.csv
