         @         ;@         d@         [@         i@         ]@         (@         )@         {@         }@       int@      void@         =@        if@      else@     while@    return@       AND@        OR@         r@         +@         *@         ,@         #@        P'@         P@        D'@         D@         T@        A'@         A@        S'@         S@         B@         E@        R'@         R@
         0@          @        r2@          @          @          @          @          @        r2@          @        r2@        r2@          @        r2@          @        r2@        r2@          @          @          @          @          @          @          @         @         1@         2@         @         @         @         @         @         @         @         @         @         @
         1@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @       acc@         @         @         @         @         @         @         @         @         @         @         @         @         @
         2@          @        s6@          @          @          @          @          @       s48@          @       s73@       s74@          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @        59@        61@         @         @         3@        51@         @         @         @         @
         3@        s4@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @        r1@         @         @         @         @         @         @         @         @         @         @         @         @         @
         4@          @        s6@          @          @          @          @          @       s48@          @          @          @          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         5@         @         @         @         @
         5@       r15@          @          @          @          @          @          @          @       r15@          @          @          @          @          @          @          @          @          @          @          @          @          @       r15@         @         @         @         @         @         @         @         @         @         @         @         @         @
         6@          @          @          @          @          @       s31@          @          @          @          @          @        s7@          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
         7@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         8@         @         @
         8@       r16@          @          @          @          @          @          @          @       r16@          @          @          @          @       r16@          @          @          @          @          @        s9@       s11@          @       r16@         @         @         @         @         @         @         @         @         @         @         @         @         @
         9@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        10@         @         @
        10@       r31@          @          @          @          @          @       r31@          @       r31@          @          @          @          @       r31@          @          @       r31@       r31@       r31@       r31@       s11@       r31@       r31@         @         @         @         @         @         @         @         @         @         @         @         @         @
        11@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        12@         @         @
        12@       r32@          @          @          @          @          @       r32@          @       r32@          @          @          @          @       r32@          @          @       r32@       r32@       r32@       r32@       r32@       r32@       r32@         @         @         @         @         @         @         @         @         @         @         @         @         @
        13@       r29@          @          @          @          @       s20@       r29@          @       r29@          @          @       s14@          @       r29@          @          @       r29@       r29@       r29@       r29@       r29@       r29@       r29@         @         @         @         @         @         @         @         @         @         @         @         @         @
        14@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        15@         @         @
        15@       r27@          @          @          @          @          @       r27@          @       r27@          @          @          @          @       r27@          @          @       r27@       r27@       r27@        s9@       s11@       r27@       r27@         @         @         @         @         @         @         @         @         @         @         @         @         @
        16@       r28@          @          @          @          @          @       r28@          @       r28@          @          @          @          @       r28@          @          @       r28@       r28@       r28@       r28@       r28@       r28@       r28@         @         @         @         @         @         @         @         @         @         @         @         @         @
        17@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        18@         @         @
        18@          @          @          @          @          @          @       s19@          @          @          @          @          @          @          @          @          @          @          @          @        s9@       s11@          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        19@       r33@          @          @          @          @          @       r33@          @       r33@          @          @          @          @       r33@          @          @       r33@       r33@       r33@       r33@       r33@       r33@       r33@         @         @         @         @         @         @         @         @         @         @         @         @         @
        20@          @       r34@          @       r34@          @       r34@       r34@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @        21@         @
        21@          @       s26@          @       s16@          @       s17@       s22@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        25@         @        23@
        22@       r30@          @          @          @          @          @       r30@          @       r30@          @          @          @          @       r30@          @          @       r30@       r30@       r30@       r30@       r30@       r30@       r30@         @         @         @         @         @         @         @         @         @         @         @         @         @
        23@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @       s24@          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        24@          @       r35@          @       r35@          @       r35@       r35@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        25@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @        s9@       s11@       r36@          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        26@       r29@          @       s27@          @          @       s29@       r29@          @       r29@          @          @       s14@          @       r29@          @          @       r29@       r29@       r29@       r29@       r29@       r29@       r29@         @         @         @         @         @         @         @         @         @         @         @         @         @
        27@          @          @          @          @       s28@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        28@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @       r37@          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        29@          @       r34@          @       r34@          @       r34@       s30@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @        21@         @
        30@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @       r38@          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        31@          @       r34@          @       r34@          @       r34@       r34@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @        32@         @
        32@          @       s26@          @       s16@          @       s17@       s33@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        25@         @        23@
        33@       r22@          @          @          @          @          @          @          @       r22@          @          @          @          @       r22@          @          @          @          @          @          @          @          @       r22@         @         @         @         @         @         @         @         @         @         @         @         @         @
        34@          @          @          @          @          @       s35@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        35@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @        36@        56@         @         @
        36@          @          @          @          @          @          @       s37@          @          @          @          @          @          @          @          @          @       s52@       s54@          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        37@          @        s6@          @          @          @          @          @       s48@          @          @          @          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @        38@         @         @         @         @
        38@       r17@          @          @          @          @          @          @          @       r17@          @          @          @          @       s39@          @          @          @          @          @          @          @          @       r17@         @         @         @         @         @         @         @         @         @         @         @         @         @
        39@          @        s6@          @          @          @          @          @       s48@          @          @          @          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @        40@         @         @         @         @
        40@       r18@          @          @          @          @          @          @          @       r18@          @          @          @          @       r18@          @          @          @          @          @          @          @          @       r18@         @         @         @         @         @         @         @         @         @         @         @         @         @
        41@          @          @          @          @          @       s42@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        42@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @        43@        56@         @         @
        43@          @          @          @          @          @          @       s44@          @          @          @          @          @          @          @          @          @       s52@       s54@          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        44@          @        s6@          @          @          @          @          @       s48@          @          @          @          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @        45@         @         @         @         @
        45@       r19@          @          @          @          @          @          @          @       r19@          @          @          @          @       r19@          @          @          @          @          @          @          @          @       r19@         @         @         @         @         @         @         @         @         @         @         @         @         @
        46@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        47@         @         @
        47@       r20@          @          @          @          @          @          @          @       r20@          @          @          @          @       r20@          @          @          @          @          @        s9@       s11@          @       r20@         @         @         @         @         @         @         @         @         @         @         @         @         @
        48@          @        s6@          @          @          @          @          @       s48@          @          @          @          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @         @         @         @         @        49@        51@         @         @         @         @
        49@        s4@          @          @          @          @          @          @          @       s50@          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        50@       r21@          @          @          @          @          @          @          @       r21@          @          @          @          @       r21@          @          @          @          @          @          @          @          @       r21@         @         @         @         @         @         @         @         @         @         @         @         @         @
        51@       r14@          @          @          @          @          @          @          @       r14@          @          @          @          @          @          @          @          @          @          @          @          @          @       r14@         @         @         @         @         @         @         @         @         @         @         @         @         @
        52@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @        53@        56@         @         @
        53@          @          @          @          @          @          @       r23@          @          @          @          @          @          @          @          @          @       r23@       r23@          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        54@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @        55@        56@         @         @
        55@          @          @          @          @          @          @       r24@          @          @          @          @          @          @          @          @          @       s52@       r24@          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        56@          @          @          @          @          @          @       r26@          @          @          @          @          @          @          @          @          @       r26@       r26@       s57@        s9@       s11@          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        57@          @       s13@          @       s16@          @       s17@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @        58@         @         @
        58@          @          @          @          @          @          @       r25@          @          @          @          @          @          @          @          @          @       r25@       r25@          @        s9@       s11@          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        59@       s60@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        60@          @        r3@          @          @          @          @          @        r3@          @        r3@        r3@          @        r3@          @        r3@        r3@          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        61@          @       s62@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        62@        r4@          @       s63@          @          @       s66@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        63@          @          @          @       s64@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        64@          @          @          @          @       s65@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        65@        r5@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        66@          @        r9@          @          @          @          @        r9@          @          @        r9@        r9@          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @        67@         @         @         @         @         @         @         @
        67@          @       s81@          @          @          @          @       s68@          @          @       s73@       s74@          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @        77@         @        75@         @         @         @         @         @         @
        68@          @          @          @          @          @          @          @       s69@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        69@          @        r2@          @          @          @          @          @        r2@          @        r2@        r2@          @        r2@          @        r2@        r2@          @          @          @          @          @          @          @         @         @        70@         @         @         @         @         @         @         @         @         @         @
        70@          @        s6@          @          @          @          @          @       s48@          @       s73@       s74@          @       s34@          @       s41@       s46@          @          @          @          @          @          @          @         @         @         @        59@        61@         @         @        71@        51@         @         @         @         @
        71@        s4@          @          @          @          @          @          @          @       s72@          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        72@        r6@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        73@          @        r7@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        74@          @        r8@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        75@       s76@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        76@          @       r10@          @          @          @          @       r10@          @          @       r10@       r10@          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        77@          @       s78@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        78@       r11@          @          @          @          @       s79@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        79@          @          @          @          @          @          @       s80@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        80@       r13@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        81@          @          @       s82@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        82@          @          @          @          @       s83@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
        83@       r12@          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @          @         @         @         @         @         @         @         @         @         @         @         @         @         @
