isWon,        total_diff,        break_pos1,        break_pos2,        break_pos3,        break_pos4,        win_in_set,        cur_diff,         ace,        utc_fore,        utc_back,        break_racial,        dis_total,        dis_lstgame,        dis_lst3pts,        dis_lstpt,        rallycnt
0,-1,0,0,0,0,0,0,0,0,0,0.0,10.372,0.0,10.372,10.372,4
1,0,1,0,0,0,0,-1,1,0,0,0.0,11.541,1.169,11.541,1.169,1
1,1,2,0,0,0,0,0,0,0,0,0.0,20.636,10.264,20.636,9.095,3
1,2,3,0,0,0,0,1,0,0,0,0.0,22.426,12.054,12.054,1.79,1
1,3,4,0,0,0,0,2,1,0,0,0.0,23.223,12.851,11.682,0.797,1
0,2,0,0,0,0,1,0,0,0,0,0.0,29.311,0.0,8.675,6.088,1
0,1,0,0,0,0,1,-1,0,0,0,0.0,49.147,19.836,26.721,19.836,5
1,2,0,0,0,0,1,-2,0,0,0,0.25,78.148,48.837,54.925,29.001,10
0,1,0,0,0,0,1,-1,0,0,0,0.2,78.824,49.513,49.513,0.676,1
0,0,0,0,0,0,1,-2,0,0,0,0.166667,80.386,51.075,31.239,1.562,1
0,1,0,0,0,0,1,0,0,0,0,0.166667,87.678,0.0,9.53,7.292,1
1,2,0,1,0,0,1,1,0,0,0,0.166667,109.718,22.04,30.894,22.04,7
0,1,0,1,0,0,1,2,0,0,0,0.166667,114.0,26.322,33.614,4.282,2
1,2,0,2,0,0,1,1,0,1,0,0.166667,119.774,32.096,32.096,5.774,3
1,3,0,3,0,0,1,2,0,1,0,0.166667,125.546,37.868,15.828,5.772,3
0,2,0,0,0,0,2,0,0,0,0,0.142857,161.266,0.0,47.266,35.72,9
0,1,0,0,0,0,2,-1,0,0,0,0.125,167.63,6.364,47.856,6.364,1
0,0,0,0,0,0,2,-2,0,0,0,0.111111,168.621,7.355,43.075,0.991,1
0,-1,0,0,0,0,2,-3,0,0,0,0.1,179.541,18.275,18.275,10.92,1
0,0,0,0,0,0,2,0,0,0,0,0.1,208.773,0.0,41.143,29.232,0
1,1,0,0,1,0,2,1,0,1,0,0.1,228.426,19.653,59.805,19.653,5
1,2,0,0,2,0,2,2,1,0,0,0.1,229.545,20.772,50.004,1.119,1
0,1,0,0,2,0,2,3,0,0,0,0.1,252.839,44.066,44.066,23.294,8
1,2,0,0,3,0,2,2,0,1,0,0.1,267.605,58.832,39.179,14.766,5
0,1,0,0,0,0,3,0,0,0,0,0.0909091,267.605,0.0,38.06,0.0,0
0,0,0,0,0,0,3,-1,0,0,0,0.0833333,309.402,41.797,56.563,41.797,13
0,-1,0,0,0,0,3,-2,0,0,0,0.0769231,361.245,93.64,93.64,51.843,9
0,-2,0,0,0,0,3,-3,0,0,0,0.0714286,370.716,103.111,103.111,9.471,3
0,-1,0,0,0,0,3,0,1,0,0,0.0714286,370.716,0.0,61.314,0.0,1
1,0,0,0,0,1,3,1,1,0,0,0.0714286,371.454,0.738,10.209,0.738,1
1,1,0,0,0,2,3,2,1,0,0,0.0714286,372.687,1.971,1.971,1.233,1
0,0,0,0,0,2,3,3,0,0,0,0.0714286,392.166,21.45,21.45,19.479,6
1,1,0,0,0,3,3,2,1,0,0,0.0714286,393.153,22.437,21.699,0.987,1
0,2,0,0,0,0,4,0,0,0,1,0.0666667,393.153,0.0,20.466,0.0,0
1,3,0,0,0,0,4,1,0,0,0,0.125,428.885,35.732,36.719,35.732,12
0,2,0,0,0,0,4,2,0,0,0,0.117647,438.528,45.375,45.375,9.643,3
0,1,0,0,0,0,4,1,0,0,0,0.111111,461.798,68.645,68.645,23.27,7
1,2,0,0,0,0,4,0,0,0,0,0.157895,476.84,83.687,47.955,15.042,4
0,1,0,0,0,0,4,1,0,0,0,0.15,477.77,84.617,39.242,0.93,1
1,2,0,0,0,0,4,0,0,0,0,0.190476,496.977,103.824,35.179,19.207,8
0,1,0,0,0,0,4,1,0,0,0,0.181818,520.892,127.739,44.052,23.915,5
0,0,0,0,0,0,4,0,0,0,0,0.173913,525.169,132.016,47.399,4.277,1
0,-1,0,0,0,0,4,-1,0,0,0,0.166667,529.252,136.099,32.275,4.083,1
0,0,0,0,0,0,4,0,1,0,0,0.166667,530.193,0.0,9.301,0.941,1
0,-1,0,0,0,0,4,1,0,0,0,0.166667,531.109,0.916,5.94,0.916,0
0,-2,0,0,0,0,4,0,0,0,0,0.166667,555.615,25.422,26.363,24.506,8
1,-1,0,0,0,1,4,-1,1,0,0,0.166667,556.452,26.259,26.259,0.837,1
1,0,0,0,0,2,4,0,1,0,0,0.166667,557.285,27.092,26.176,0.833,1
1,1,0,0,0,3,4,1,0,1,0,0.166667,570.148,39.955,14.533,12.863,3
0,2,0,0,0,0,5,0,0,0,0,0.16,602.643,0.0,46.191,32.495,12
0,1,0,0,0,0,5,1,0,0,0,0.153846,620.432,17.789,63.147,17.789,5
