isWon,        total_diff,        break_pos1,        break_pos2,        break_pos3,        break_pos4,        win_in_set,        cur_diff,         ace,        utc_fore,        utc_back,        break_racial,        dis_total,        dis_lstgame,        dis_lst3pts,        dis_lstpt,        rallycnt
0,-1,0,0,0,0,0,0,0,0,0,0.0,36.719,0.0,36.719,36.719,9
0,-2,0,0,0,0,0,-1,0,0,0,0.0,37.89,1.171,37.89,1.171,1
0,-3,0,0,0,0,0,-2,0,0,0,0.0,50.512,13.793,50.512,12.622,3
1,-2,0,0,0,0,0,-3,0,1,0,0.25,62.098,25.379,25.379,11.586,4
0,-3,0,0,0,0,0,-2,0,0,0,0.2,70.515,33.796,32.625,8.417,1
0,-2,0,0,0,0,0,0,1,0,0,0.2,71.152,0.0,20.64,0.637,1
1,-1,1,0,0,0,0,1,0,0,0,0.2,76.306,5.154,14.208,5.154,1
1,0,2,0,0,0,0,2,0,0,0,0.2,80.439,9.287,9.924,4.133,1
1,1,3,0,0,0,0,3,0,1,0,0.2,98.393,27.241,27.241,17.954,7
0,0,0,0,0,0,1,0,0,0,0,0.166667,104.676,0.0,28.37,6.283,1
0,-1,0,0,0,0,1,-1,0,0,0,0.142857,125.3,20.624,44.861,20.624,3
1,0,0,0,0,0,1,-2,0,0,0,0.25,137.365,32.689,38.972,12.065,0
0,-1,0,0,0,0,1,-1,0,0,0,0.222222,143.303,38.627,38.627,5.938,1
0,-2,0,0,0,0,1,-2,0,0,0,0.2,161.456,56.78,36.156,18.153,5
0,-3,0,0,0,0,1,0,0,0,0,0.2,173.701,0.0,36.336,12.245,4
0,-4,0,0,0,0,1,-1,0,0,0,0.2,183.81,10.109,40.507,10.109,4
0,-5,0,0,0,0,1,-2,0,0,0,0.2,207.69,33.989,46.234,23.88,6
0,-6,0,0,0,0,1,-3,0,0,0,0.2,215.054,41.353,41.353,7.364,2
0,-5,0,0,0,0,1,0,0,0,0,0.181818,237.7,0.0,53.89,22.646,4
1,-4,0,0,0,0,1,1,0,0,0,0.25,252.272,14.572,44.582,14.572,4
1,-3,0,0,0,0,1,2,0,1,0,0.307692,280.8,43.1,65.746,28.528,6
1,-2,0,0,0,0,1,3,0,1,0,0.357143,283.898,46.198,46.198,3.098,2
0,-1,0,0,0,0,2,0,0,0,0,0.357143,288.579,0.0,36.307,4.681,1
1,0,0,0,1,0,2,1,0,0,0,0.357143,308.036,19.457,27.236,19.457,3
1,1,0,0,2,0,2,2,0,0,0,0.357143,318.915,30.336,35.017,10.879,3
0,0,0,0,2,0,2,3,0,0,0,0.357143,336.062,47.483,47.483,17.147,6
1,1,0,0,3,0,2,2,0,0,0,0.357143,371.292,82.713,63.256,35.23,5
0,0,0,0,0,0,3,0,0,0,0,0.333333,374.966,0.0,56.051,3.674,1
0,-1,0,0,0,0,3,-1,0,0,0,0.3125,389.064,14.098,53.002,14.098,5
0,-2,0,0,0,0,3,-2,0,0,0,0.294118,411.18,36.214,39.888,22.116,3
0,-3,0,0,0,0,3,-3,0,0,0,0.277778,416.22,41.254,41.254,5.04,1
0,-2,0,0,0,0,3,0,1,0,0,0.277778,421.093,0.0,32.029,4.873,1
1,-1,0,0,0,1,3,1,0,0,0,0.277778,424.724,3.631,13.544,3.631,1
1,0,0,0,0,2,3,2,0,0,0,0.277778,429.131,8.038,12.911,4.407,1
1,1,0,0,0,3,3,3,0,0,0,0.277778,432.343,11.25,11.25,3.212,1
0,0,0,0,0,0,4,0,0,0,0,0.263158,439.535,0.0,14.811,7.192,1
1,1,0,0,0,0,4,-1,0,1,0,0.3,449.847,10.312,20.716,10.312,4
0,0,0,0,0,0,4,0,0,0,0,0.285714,469.854,30.319,37.511,20.007,3
0,-1,0,0,0,0,4,-1,0,0,0,0.272727,486.197,46.662,46.662,16.343,5
0,-2,0,0,0,0,4,-2,0,0,0,0.26087,497.879,58.344,48.032,11.682,3
0,-1,0,0,0,0,4,0,0,1,0,0.26087,524.585,0.0,54.731,26.706,9
1,0,0,0,0,1,4,1,0,0,0,0.26087,534.088,9.503,47.891,9.503,3
1,1,0,0,0,2,4,2,0,0,0,0.26087,546.646,22.061,48.767,12.558,5
1,2,0,0,0,3,4,3,0,0,0,0.26087,558.087,33.502,33.502,11.441,3
0,3,0,0,0,0,5,0,0,0,0,0.25,633.518,0.0,99.43,75.431,10
0,2,0,0,0,0,5,1,0,0,0,0.24,634.476,0.958,87.83,0.958,1
1,3,0,0,0,0,5,0,0,1,0,0.269231,651.765,18.247,93.678,17.289,4
1,4,0,0,0,0,5,1,0,0,0,0.296296,663.842,30.324,30.324,12.077,2
1,5,0,0,0,0,5,2,0,0,1,0.321429,691.292,57.774,56.816,27.45,6
0,4,0,0,0,0,6,0,0,0,0,0.321429,697.511,0.0,45.746,6.219,2
1,5,0,0,0,1,6,-1,0,0,0,0.321429,708.071,10.56,44.229,10.56,3
0,4,0,0,0,1,6,0,0,0,0,0.321429,721.444,23.933,30.152,13.373,4
0,3,0,0,0,1,6,-1,0,0,0,0.321429,742.155,44.644,44.644,20.711,8
1,4,0,0,0,2,6,-2,0,0,0,0.321429,747.453,49.942,39.382,5.298,1
1,5,0,0,0,3,6,-1,0,0,0,0.321429,789.386,91.875,67.942,41.933,13
